TransacaoID,Data,Itens,TotalItens,Categorias
T36,2025-06-15 09:24:16.613879,"Limpa-Fornos, Álcool 70%, Inseticida, Detergente Industrial, Limpa Vidros, Água Sanitária, Pasta de Dente, Desinfetante",8,"Limpeza Pessoal, Limpeza Geral, Limpeza Pesada"
T37,2024-12-31 10:24:16.613879,"Arroz Branco, Feijão Carioca, Feijão Preto, Óleo de Soja, Grão-de-Bico, Arroz Integral",6,Grãos
T38,2025-04-04 09:24:16.613879,"Azeitona, Biscoito de Polvilho, Cerveja Weiss",3,"Cervejas, Acompanhamentos"
T39,2025-04-05 10:24:16.613879,"Castanha de Caju, Azeitona, Pasta de Dente, Cerveja Lager, Cachaça, Multiuso, Lentilha, Tábua de Queijos",8,"Destilados, Limpeza Pessoal, Limpeza Geral, Cervejas, Grãos, Acompanhamentos"
T40,2025-01-17 06:24:16.613879,"Água Sanitária, Pasta de Dente, Limpa Vidros, Álcool 70%",4,"Limpeza Pessoal, Limpeza Geral, Limpeza Pesada"
T41,2025-01-07 10:24:16.613879,"Fralda M, Torradas, Feijão Preto, Amaciante, Biscoito Salgado, Pasta de Dente, Shampoo, Arroz Branco, Vinho Rosé, Macarrão Instantâneo, Cerveja IPA, Desentupidor, Vinho Tinto Seco, Farinha de Trigo, Tábua de Queijos, Amendoim",16,"Cervejas, Limpeza Pesada, Massas, Limpeza Pessoal, Limpeza Geral, Bebês, Vinhos, Grãos, Acompanhamentos"
T42,2025-02-26 08:24:16.613879,"Desentupidor, Detergente Industrial, Multiuso, Desinfetante, Saco de Lixo",5,"Limpeza Geral, Limpeza Pesada"
T43,2025-04-11 08:24:16.613879,"Sabonete Líquido, Fralda M, Mamadeira, Fio Dental, Pasta de Dente, Creme de Barbear, Shampoo, Leite em Pó",8,"Limpeza Pessoal, Bebês"
T44,2025-06-08 01:24:16.613879,"Arroz Branco, Azeitona, Biscoito Salgado, Feijão Carioca, Salgadinhos, Óleo de Soja, Biscoito de Polvilho, Batata Chips",8,"Grãos, Acompanhamentos"
T45,2025-04-07 08:24:16.613879,"Macarrão Instantâneo, Detergente Industrial, Pasta de Dente, Inseticida, Torradas, Amaciante, Batata Chips, Leite em Pó, Gin, Vinho Tinto Seco",10,"Destilados, Limpeza Pesada, Massas, Limpeza Pessoal, Limpeza Geral, Bebês, Vinhos, Acompanhamentos"
T46,2025-04-10 10:24:16.613879,"Água Sanitária, Condicionador, Cerveja Pilsen, Farinha de Mandioca, Batata Chips, Vinho Branco",6,"Limpeza Pesada, Massas, Limpeza Pessoal, Vinhos, Cervejas, Acompanhamentos"
T47,2025-02-02 10:24:16.613879,"Limpa-Fornos, Desentupidor, Multiuso, Água Sanitária, Desinfetante, Saco de Lixo",6,"Limpeza Geral, Limpeza Pesada"
T48,2025-01-01 09:24:16.613879,"Sabonete Líquido, Condicionador, Papinha, Fralda G, Pasta de Dente, Creme de Barbear, Shampoo",7,"Limpeza Pessoal, Bebês"
T49,2025-02-04 10:24:16.613879,"Rum, Feijão Preto, Fio Dental, Pasta de Amendoim, Álcool 70%, Amaciante, Macarrão Penne, Lenço Umedecido, Torradas, Espumante, Farinha de Mandioca, Inseticida, Macarrão Espaguete, Cerveja Pilsen, Saco de Lixo, Sabonete Líquido, Vodka, Condicionador, Fralda P, Vinho Rosé",20,"Cervejas, Destilados, Limpeza Pesada, Massas, Limpeza Pessoal, Limpeza Geral, Bebês, Vinhos, Grãos, Acompanhamentos"
T50,2025-04-29 04:24:16.613879,"Lentilha, Vodka, Lenço Umedecido, Espumante, Fralda G, Gin, Condicionador, Macarrão Parafuso, Desentupidor, Mamadeira, Leite em Pó, Água Sanitária, Castanha de Caju, Saco de Lixo, Fralda M, Detergente Industrial, Limpa Vidros",17,"Destilados, Limpeza Pesada, Massas, Limpeza Pessoal, Vinhos, Bebês, Limpeza Geral, Grãos, Acompanhamentos"
T51,2025-01-09 09:24:16.613879,"Feijão Carioca, Castanha de Caju, Grão-de-Bico, Farinha de Mandioca, Vinho do Porto, Saco de Lixo, Espumante, Fio Dental, Limpa-Fornos, Amendoim, Sabonete Líquido, Arroz Integral, Mamadeira, Lenço Umedecido, Feijão Preto, Macarrão Instantâneo, Macarrão Penne, Fralda M",18,"Limpeza Pesada, Massas, Limpeza Pessoal, Bebês, Limpeza Geral, Vinhos, Grãos, Acompanhamentos"
T52,2025-06-16 09:24:16.613879,"Lenço Umedecido, Fralda P, Papinha, Fralda G, Pomada Assadura",5,Bebês
T53,2025-05-08 05:24:16.613879,"Fio Dental, Pasta de Dente, Desentupidor",3,"Limpeza Pessoal, Limpeza Pesada"
T54,2025-03-21 04:24:16.613879,"Azeitona, Vodka, Rum, Cerveja Weiss, Biscoito de Polvilho, Tequila",6,"Cervejas, Destilados, Acompanhamentos"
T55,2025-02-01 11:24:16.613879,"Fralda M, Macarrão Parafuso, Farinha de Mandioca, Chupeta, Fralda P, Lenço Umedecido, Cerveja IPA, Pasta de Amendoim, Tábua de Queijos, Desentupidor, Sabão em Pó, Condicionador, Torradas, Limpa Vidros",14,"Limpeza Pesada, Massas, Limpeza Pessoal, Limpeza Geral, Bebês, Cervejas, Acompanhamentos"
T56,2025-04-18 02:24:16.613879,"Amendoim, Azeitona, Salgadinhos, Cerveja IPA, Batata Chips, Castanha de Caju, Tábua de Queijos",7,"Cervejas, Acompanhamentos"
T57,2025-03-28 10:24:16.613879,"Fralda M, Mamadeira, Condicionador, Leite em Pó",4,"Limpeza Pessoal, Bebês"
T58,2024-12-28 01:24:16.613879,"Pomada Assadura, Tequila, Grão-de-Bico, Cerveja Weiss, Multiuso, Chupeta, Cerveja Lager, Azeitona, Vinho Rosé, Inseticida, Cerveja Artesanal, Sabonete Líquido, Feijão Carioca, Macarrão Penne",14,"Destilados, Limpeza Pesada, Massas, Limpeza Pessoal, Limpeza Geral, Bebês, Cervejas, Vinhos, Grãos, Acompanhamentos"
T59,2025-01-19 09:24:16.613879,"Amendoim, Biscoito Salgado, Cerveja Pilsen, Batata Chips",4,"Cervejas, Acompanhamentos"
T60,2025-04-01 09:24:16.613879,"Pomada Assadura, Multiuso, Tábua de Queijos, Vinho Rosé, Sabonete Líquido, Pasta de Dente, Tequila, Biscoito Salgado, Vodka, Desinfetante, Cerveja IPA, Lentilha, Papinha, Sabão em Pó, Pasta de Amendoim",15,"Destilados, Limpeza Pesada, Limpeza Pessoal, Bebês, Vinhos, Limpeza Geral, Cervejas, Grãos, Acompanhamentos"
T61,2025-04-09 10:24:16.613879,"Álcool 70%, Limpa Vidros, Água Sanitária, Multiuso, Amaciante, Sabão em Pó, Saco de Lixo",7,"Limpeza Pesada, Limpeza Geral"
T62,2025-01-17 06:24:16.613879,"Desinfetante, Multiuso, Saco de Lixo",3,"Limpeza Geral, Limpeza Pesada"
T63,2025-02-27 03:24:16.613879,"Biscoito Salgado, Arroz Branco, Azeitona, Chupeta, Detergente Industrial, Condicionador, Feijão Preto, Macarrão Penne, Sabonete Líquido, Fralda XG, Fralda G, Fralda P, Pasta de Dente, Limpa Vidros, Desinfetante",15,"Limpeza Pesada, Massas, Limpeza Pessoal, Limpeza Geral, Bebês, Grãos, Acompanhamentos"
T64,2025-04-18 07:24:16.613879,"Leite em Pó, Feijão Carioca, Lenço Umedecido",3,"Grãos, Bebês"
T65,2025-02-05 07:24:16.613879,"Fralda M, Mamadeira, Leite em Pó",3,Bebês
T66,2025-05-02 03:24:16.613879,"Álcool 70%, Inseticida, Detergente Industrial, Limpa Vidros, Pasta de Dente",5,"Limpeza Pesada, Limpeza Pessoal, Limpeza Geral"
T67,2024-12-25 01:24:16.613879,"Álcool 70%, Limpa Vidros, Multiuso, Pasta de Dente, Saco de Lixo",5,"Limpeza Pessoal, Limpeza Geral"
T68,2025-04-21 08:24:16.613879,"Fralda M, Mamadeira, Creme de Barbear, Leite em Pó",4,"Limpeza Pessoal, Bebês"
T69,2025-02-08 10:24:16.613879,"Fralda M, Condicionador, Mamadeira, Fio Dental, Pasta de Dente, Creme de Barbear, Shampoo, Leite em Pó",8,"Limpeza Pessoal, Bebês"
T70,2025-02-08 04:24:16.613879,"Álcool 70%, Limpa Vidros, Água Sanitária, Multiuso, Amaciante, Sabão em Pó, Saco de Lixo",7,"Limpeza Pesada, Limpeza Geral"
T71,2025-01-03 10:24:16.613879,"Castanha de Caju, Cerveja IPA, Tábua de Queijos",3,"Cervejas, Acompanhamentos"
T72,2025-03-18 02:24:16.613879,"Amendoim, Pasta de Amendoim, Cerveja IPA, Castanha de Caju, Tábua de Queijos",5,"Cervejas, Acompanhamentos"
T73,2025-01-03 00:24:16.613879,"Macarrão Espaguete, Vinho Rosé, Gin, Condicionador, Lenço Umedecido, Cerveja Artesanal, Papinha, Limpa-Fornos, Sabão em Pó",9,"Destilados, Limpeza Pesada, Massas, Limpeza Pessoal, Vinhos, Bebês, Cervejas, Limpeza Geral"
T74,2025-04-06 09:24:16.613879,"Água Sanitária, Amaciante, Sabão em Pó",3,"Limpeza Geral, Limpeza Pesada"
T75,2025-03-09 09:24:16.613879,"Limpa-Fornos, Desentupidor, Inseticida, Detergente Industrial, Água Sanitária, Amaciante, Sabão em Pó",7,"Limpeza Geral, Limpeza Pesada"
T76,2025-02-03 08:24:16.613879,"Álcool 70%, Limpa Vidros, Água Sanitária, Amaciante, Sabão em Pó, Saco de Lixo",6,"Limpeza Pesada, Limpeza Geral"
T77,2025-04-16 01:24:16.613879,"Sabonete Líquido, Fralda M, Condicionador, Mamadeira, Pasta de Dente, Creme de Barbear, Shampoo, Leite em Pó",8,"Limpeza Pessoal, Bebês"
T78,2025-02-27 02:24:16.613879,"Arroz Branco, Feijão Carioca, Macarrão Espaguete, Macarrão Instantâneo, Farinha de Mandioca, Óleo de Soja, Macarrão Parafuso, Macarrão Penne",8,"Massas, Grãos"
T79,2025-03-08 06:24:16.613879,"Rum, Vodka, Cerveja IPA, Castanha de Caju, Tábua de Queijos",5,"Cervejas, Destilados, Acompanhamentos"
T80,2025-06-11 11:24:16.613879,"Macarrão Penne, Arroz Integral, Tequila, Cerveja Zero Álcool, Farinha de Trigo, Fralda P, Multiuso, Castanha de Caju, Água Sanitária, Vinho do Porto, Cerveja IPA, Farinha de Mandioca, Vinho Rosé, Sabão em Pó, Papinha, Desinfetante, Macarrão Parafuso",17,"Destilados, Limpeza Pesada, Massas, Limpeza Geral, Bebês, Cervejas, Vinhos, Grãos, Acompanhamentos"
T81,2025-03-02 02:24:16.613879,"Amendoim, Cerveja Pilsen, Batata Chips, Tequila",4,"Cervejas, Destilados, Acompanhamentos"
T82,2025-04-26 02:24:16.613879,"Macarrão Parafuso, Cachaça, Grão-de-Bico, Amaciante, Biscoito de Polvilho, Tábua de Queijos, Castanha de Caju, Desentupidor, Vodka, Creme de Barbear, Tequila, Macarrão Espaguete, Farinha de Mandioca, Macarrão Penne",14,"Destilados, Limpeza Pesada, Massas, Limpeza Pessoal, Limpeza Geral, Grãos, Acompanhamentos"
T83,2025-04-03 08:24:16.613879,"Fralda M, Mamadeira, Chupeta, Fralda G, Pomada Assadura, Leite em Pó",6,Bebês
T84,2025-04-27 10:24:16.613879,"Álcool 70%, Água Sanitária, Multiuso, Amaciante, Sabão em Pó",5,"Limpeza Pesada, Limpeza Geral"
T85,2025-04-24 01:24:16.613879,"Amendoim, Pasta de Amendoim, Cerveja Pilsen, Batata Chips, Tábua de Queijos",5,"Cervejas, Acompanhamentos"
T86,2025-05-11 06:24:16.613879,"Desinfetante, Multiuso, Saco de Lixo, Álcool 70%",4,"Limpeza Geral, Limpeza Pesada"
T87,2025-06-04 02:24:16.613879,"Leite Integral, Pão Francês, Manteiga",3,
T88,2025-01-27 06:24:16.613879,"Limpa-Fornos, Desentupidor, Inseticida, Multiuso, Desinfetante, Saco de Lixo",6,"Limpeza Geral, Limpeza Pesada"
T89,2025-03-03 04:24:16.613879,"Álcool 70%, Limpa Vidros, Água Sanitária, Multiuso, Amaciante, Sabão em Pó",6,"Limpeza Pesada, Limpeza Geral"
T90,2025-01-01 03:24:16.613879,"Macarrão Parafuso, Biscoito Salgado, Feijão Carioca, Macarrão Espaguete, Azeitona, Tábua de Queijos, Leite em Pó, Saco de Lixo, Chupeta, Pasta de Amendoim, Fralda G, Castanha de Caju, Vinho Tinto Seco, Amaciante, Espumante, Papinha, Macarrão Instantâneo, Vinho Rosé, Biscoito de Polvilho",19,"Massas, Limpeza Geral, Bebês, Vinhos, Grãos, Acompanhamentos"
T91,2025-01-15 06:24:16.613879,"Sabonete Líquido, Biscoito Salgado, Macarrão Penne, Cerveja Artesanal, Gin, Pomada Assadura, Desinfetante, Tábua de Queijos, Arroz Branco, Vodka, Feijão Preto, Creme de Barbear, Fralda M",13,"Destilados, Limpeza Pesada, Massas, Limpeza Pessoal, Bebês, Cervejas, Grãos, Acompanhamentos"
T92,2025-04-04 11:24:16.613879,Batata Chips,1,Acompanhamentos
T93,2025-03-15 10:24:16.613879,"Rum, Gin, Cerveja IPA, Castanha de Caju, Tábua de Queijos, Tequila",6,"Cervejas, Destilados, Acompanhamentos"
T94,2025-01-15 10:24:16.613879,"Limpa-Fornos, Macarrão Parafuso, Cerveja Artesanal, Gin, Espumante, Farinha de Mandioca, Sabão em Pó, Feijão Preto, Batata Chips, Vinho Rosé, Multiuso, Cerveja Zero Álcool, Fralda P",13,"Destilados, Limpeza Pesada, Massas, Bebês, Vinhos, Limpeza Geral, Cervejas, Grãos, Acompanhamentos"
T95,2025-01-04 10:24:16.613879,"Arroz Branco, Feijão Carioca, Óleo de Soja, Espumante, Vinho Rosé, Vinho Tinto Seco",6,"Grãos, Vinhos"
T96,2025-02-05 02:24:16.613879,"Fralda M, Mamadeira, Leite em Pó, Fio Dental",4,"Limpeza Pessoal, Bebês"
T97,2025-06-02 10:24:16.613879,"Limpa Vidros, Água Sanitária, Multiuso, Amaciante, Sabão em Pó",5,"Limpeza Pesada, Limpeza Geral"
T98,2025-03-19 10:24:16.613879,"Desentupidor, Inseticida, Multiuso, Água Sanitária, Desinfetante, Saco de Lixo",6,"Limpeza Geral, Limpeza Pesada"
T99,2025-04-23 01:24:16.613879,"Fralda M, Condicionador, Mamadeira, Shampoo, Leite em Pó",5,"Limpeza Pessoal, Bebês"
T100,2024-12-23 08:24:16.613879,"Desentupidor, Inseticida, Detergente Industrial, Água Sanitária, Amaciante, Sabão em Pó, Desinfetante",7,"Limpeza Geral, Limpeza Pesada"
T101,2025-01-14 12:24:16.613879,"Papinha, Fralda G, Álcool 70%, Fralda M, Limpa-Fornos, Vinho Tinto Seco, Detergente Industrial, Vinho do Porto, Sabão em Pó, Saco de Lixo, Limpa Vidros, Sabonete Líquido, Desentupidor, Feijão Preto, Gin, Macarrão Parafuso",16,"Destilados, Limpeza Pesada, Massas, Limpeza Pessoal, Bebês, Vinhos, Limpeza Geral, Grãos"
T102,2025-03-06 10:24:16.613879,"Amendoim, Azeitona, Biscoito Salgado, Cerveja Pilsen, Biscoito de Polvilho, Batata Chips",6,"Cervejas, Acompanhamentos"
T103,2025-02-24 12:24:16.613879,"Torradas, Vinho do Porto, Limpa Vidros, Chupeta, Fio Dental, Tequila",6,"Destilados, Limpeza Pessoal, Limpeza Geral, Bebês, Vinhos, Acompanhamentos"
T104,2025-03-23 23:24:16.613879,"Desinfetante, Sabão em Pó, Vinho Rosé, Lentilha, Macarrão Espaguete, Cerveja Artesanal, Rum, Saco de Lixo, Macarrão Instantâneo, Arroz Branco, Farinha de Trigo, Limpa Vidros, Arroz Integral, Torradas, Condicionador, Leite em Pó",16,"Destilados, Limpeza Pesada, Massas, Limpeza Pessoal, Bebês, Vinhos, Limpeza Geral, Cervejas, Grãos, Acompanhamentos"
T105,2025-05-06 23:24:16.613879,Mamadeira,1,Bebês
T106,2025-05-28 08:24:16.613879,"Limpa-Fornos, Desentupidor, Inseticida, Detergente Industrial, Multiuso, Desinfetante, Saco de Lixo",7,"Limpeza Geral, Limpeza Pesada"
T107,2025-01-01 08:24:16.613879,"Álcool 70%, Limpa Vidros, Água Sanitária, Multiuso, Amaciante, Sabão em Pó, Saco de Lixo",7,"Limpeza Pesada, Limpeza Geral"
T108,2025-01-24 06:24:16.613879,"Sabonete Líquido, Papinha, Fralda G",3,"Limpeza Pessoal, Bebês"
T109,2025-05-27 06:24:16.613879,"Limpa-Fornos, Inseticida, Detergente Industrial, Multiuso, Água Sanitária, Desinfetante, Saco de Lixo",7,"Limpeza Geral, Limpeza Pesada"
T110,2025-01-15 08:24:16.613879,"Cerveja Artesanal, Multiuso, Fralda P, Arroz Integral, Fralda M, Grão-de-Bico, Espumante, Creme de Barbear, Salgadinhos",9,"Bebês, Limpeza Pessoal, Vinhos, Limpeza Geral, Cervejas, Grãos, Acompanhamentos"
T111,2025-04-16 01:24:16.613879,"Arroz Branco, Limpa-Fornos, Desentupidor, Feijão Carioca, Inseticida, Detergente Industrial, Óleo de Soja, Desinfetante",8,"Grãos, Limpeza Pesada"
T112,2025-02-11 01:24:16.613879,"Álcool 70%, Multiuso, Amaciante, Sabão em Pó, Desinfetante, Saco de Lixo",6,"Limpeza Pesada, Limpeza Geral"
T113,2025-06-08 11:24:16.613879,"Biscoito de Polvilho, Fralda P, Fralda G, Desentupidor, Sabonete Líquido, Rum, Shampoo, Feijão Carioca, Água Sanitária, Cerveja Pilsen, Amendoim, Creme de Barbear, Macarrão Espaguete, Gin, Chupeta, Vinho do Porto, Cachaça, Whisky",18,"Destilados, Limpeza Pesada, Massas, Limpeza Pessoal, Vinhos, Bebês, Cervejas, Grãos, Acompanhamentos"
T114,2025-01-03 09:24:16.613879,"Amendoim, Vodka, Cerveja Pilsen, Batata Chips",4,"Cervejas, Destilados, Acompanhamentos"
T115,2025-05-03 02:24:16.613879,"Vinho Rosé, Gin, Grão-de-Bico, Feijão Carioca, Sabonete Líquido, Salgadinhos, Pomada Assadura, Desinfetante, Vodka, Fralda M, Macarrão Instantâneo, Farinha de Mandioca, Detergente Industrial, Cerveja Weiss, Limpa Vidros, Shampoo, Desentupidor",17,"Destilados, Limpeza Pesada, Massas, Limpeza Pessoal, Vinhos, Bebês, Cervejas, Limpeza Geral, Grãos, Acompanhamentos"
T116,2025-04-09 10:24:16.613879,"Leite Integral, Pão Francês, Manteiga",3,
T117,2025-03-01 10:24:16.613879,"Álcool 70%, Multiuso, Amaciante, Sabão em Pó, Desinfetante, Saco de Lixo",6,"Limpeza Pesada, Limpeza Geral"
T118,2025-06-18 01:24:16.613879,"Desentupidor, Inseticida, Água Sanitária, Amaciante, Sabão em Pó",5,"Limpeza Geral, Limpeza Pesada"
T119,2025-01-29 08:24:16.613879,"Fralda P, Arroz Branco, Feijão Carioca, Fralda G, Biscoito de Polvilho, Tábua de Queijos, Pasta de Dente, Macarrão Penne, Torradas, Macarrão Parafuso, Limpa Vidros, Vodka, Castanha de Caju, Farinha de Mandioca, Creme de Barbear, Desentupidor, Vinho do Porto, Salgadinhos",18,"Destilados, Limpeza Pesada, Massas, Limpeza Pessoal, Limpeza Geral, Bebês, Vinhos, Grãos, Acompanhamentos"
T120,2025-01-14 09:24:16.613879,"Cachaça, Tequila, Arroz Branco",3,"Grãos, Destilados"
T121,2025-06-09 10:24:16.613879,"Whisky, Desentupidor, Espumante, Pasta de Dente, Álcool 70%",5,"Destilados, Limpeza Pesada, Limpeza Pessoal, Vinhos, Limpeza Geral"
T122,2025-03-21 01:24:16.613879,"Arroz Branco, Feijão Carioca, Óleo de Soja",3,Grãos
T123,2025-03-02 09:24:16.613879,"Azeitona, Vodka, Rum, Cachaça, Gin, Whisky, Cerveja Weiss, Biscoito de Polvilho",8,"Cervejas, Destilados, Acompanhamentos"
T124,2025-01-26 09:24:16.613879,"Cerveja Lager, Chupeta, Farinha de Mandioca, Salgadinhos, Amendoim, Amaciante, Saco de Lixo, Biscoito Salgado, Feijão Preto, Tábua de Queijos, Azeitona, Cerveja Pilsen, Cachaça, Rum, Papinha, Desentupidor, Torradas, Cerveja Artesanal",18,"Destilados, Limpeza Pesada, Massas, Limpeza Geral, Bebês, Cervejas, Grãos, Acompanhamentos"
T125,2025-03-14 08:24:16.613879,"Amendoim, Biscoito Salgado, Pasta de Amendoim, Salgadinhos, Cerveja Pilsen, Biscoito de Polvilho, Batata Chips",7,"Cervejas, Acompanhamentos"
T126,2025-06-08 04:24:16.613879,"Castanha de Caju, Vodka, Tequila, Chupeta, Arroz Integral",5,"Grãos, Destilados, Bebês, Acompanhamentos"
T127,2025-01-18 10:24:16.613879,"Fralda M, Mamadeira, Leite em Pó",3,Bebês
T128,2025-02-11 10:24:16.613879,"Limpa-Fornos, Detergente Industrial, Água Sanitária, Amaciante, Sabão em Pó, Desinfetante",6,"Limpeza Geral, Limpeza Pesada"
T129,2025-04-27 09:24:16.613879,"Pomada Assadura, Desinfetante, Inseticida, Espumante, Cerveja Pilsen",5,"Cervejas, Vinhos, Limpeza Pesada, Bebês"
T130,2024-12-31 11:24:16.613879,"Amendoim, Azeitona, Torradas, Cerveja IPA, Biscoito de Polvilho, Castanha de Caju, Tábua de Queijos",7,"Cervejas, Acompanhamentos"
T131,2025-06-02 06:24:16.613879,"Arroz Branco, Feijão Carioca, Macarrão Instantâneo, Óleo de Soja, Farinha de Trigo",5,"Massas, Grãos"
T132,2025-03-23 01:24:16.613879,"Fralda M, Mamadeira, Chupeta, Papinha, Leite em Pó",5,Bebês
